--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                     DescribeInstancePatches                                                                                    |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
||                                                                                            Patches                                                                                           ||
|+----------------+----------------+---------------------------------------------------------+------------+-----------------+-------------------------------------------------------------------+|
|| Classification | InstalledTime  |                          KBId                           | Severity   |      State      |                               Title                               ||
||  Bugfix        |  1569397946.0  |  dconf.x86_64                                           |  None      |  Installed      |  dconf.x86_64:0:0.28.0-4.el7                                      ||
||  Bugfix        |  1570703425.0  |  desktop-file-utils.x86_64                              |  None      |  Installed      |  desktop-file-utils.x86_64:0:0.23-2.el7                           ||
||  Bugfix        |  1570703369.0  |  diffutils.x86_64                                       |  None      |  Installed      |  diffutils.x86_64:0:3.3-5.el7                                     ||
||  Bugfix        |  1572864773.0  |  dleyna-connector-dbus.x86_64                           |  None      |  Installed      |  dleyna-connector-dbus.x86_64:0:0.2.0-2.el7                       ||
||  Bugfix        |  1572864765.0  |  dleyna-core.x86_64                                     |  None      |  Installed      |  dleyna-core.x86_64:0:0.5.0-1.el7                                 ||
||  Bugfix        |  1572864791.0  |  dleyna-server.x86_64                                   |  None      |  Installed      |  dleyna-server.x86_64:0:0.5.0-3.el7                               ||
||  Bugfix        |  1570703387.0  |  dmidecode.x86_64                                       |  None      |  Installed      |  dmidecode.x86_64:1:3.2-3.el7                                     ||
||  Bugfix        |  1572864784.0  |  dmraid.x86_64                                          |  None      |  Installed      |  dmraid.x86_64:0:1.0.0.rc16-28.el7                                ||
||  Bugfix        |  1572864784.0  |  dmraid-events.x86_64                                   |  None      |  Installed      |  dmraid-events.x86_64:0:1.0.0.rc16-28.el7                         ||
||  Bugfix        |  1572864777.0  |  dnsmasq.x86_64                                         |  None      |  Installed      |  dnsmasq.x86_64:0:2.76-10.el7_7.1                                 ||
||  Bugfix        |  1569397952.0  |  dosfstools.x86_64                                      |  None      |  Installed      |  dosfstools.x86_64:0:3.0.20-10.el7                                ||
||  Bugfix        |  1572864766.0  |  ebtables.x86_64                                        |  None      |  Installed      |  ebtables.x86_64:0:2.0.10-16.el7                                  ||
||  Bugfix        |  1572864764.0  |  efivar-libs.x86_64                                     |  None      |  Installed      |  efivar-libs.x86_64:0:36-12.el7                                   ||
||  Bugfix        |  1570703362.0  |  emacs-filesystem.noarch                                |  None      |  Installed      |  emacs-filesystem.noarch:1:24.3-22.el7                            ||
||  Bugfix        |  1572864848.0  |  empathy.x86_64                                         |  None      |  Installed      |  empathy.x86_64:0:3.12.13-1.el7                                   ||
||  Bugfix        |  1572864853.0  |  eog.x86_64                                             |  None      |  Installed      |  eog.x86_64:0:3.28.3-1.el7                                        ||
||  Bugfix        |  1570703373.0  |  ethtool.x86_64                                         |  None      |  Installed      |  ethtool.x86_64:2:4.8-10.el7                                      ||
||  Bugfix        |  1572864845.0  |  evince.x86_64                                          |  None      |  Installed      |  evince.x86_64:0:3.28.2-8.el7                                     ||
||  Bugfix        |  1572864843.0  |  evince-libs.x86_64                                     |  None      |  Installed      |  evince-libs.x86_64:0:3.28.2-8.el7                                ||
||  Bugfix        |  1572864848.0  |  evince-nautilus.x86_64                                 |  None      |  Installed      |  evince-nautilus.x86_64:0:3.28.2-8.el7                            ||
||  Bugfix        |  1572864838.0  |  evolution-data-server.x86_64                           |  None      |  Installed      |  evolution-data-server.x86_64:0:3.28.5-3.el7                      ||
||  Bugfix        |  1572864838.0  |  evolution-data-server-langpacks.noarch                 |  None      |  Installed      |  evolution-data-server-langpacks.noarch:0:3.28.5-3.el7            ||
||  Bugfix        |  1572864830.0  |  fcoe-utils.x86_64                                      |  None      |  Installed      |  fcoe-utils.x86_64:0:1.0.32-2.el7_6                               ||
||  Bugfix        |  1570703369.0  |  file.x86_64                                            |  None      |  Installed      |  file.x86_64:0:5.11-35.el7                                        ||
||  Bugfix        |  1570703369.0  |  file-libs.x86_64                                       |  None      |  Installed      |  file-libs.x86_64:0:5.11-35.el7                                   ||
||  Bugfix        |  1572864818.0  |  file-roller.x86_64                                     |  None      |  Installed      |  file-roller.x86_64:0:3.28.1-2.el7                                ||
||  Bugfix        |  1572864854.0  |  file-roller-nautilus.x86_64                            |  None      |  Installed      |  file-roller-nautilus.x86_64:0:3.28.1-2.el7                       ||
||  Bugfix        |  1521826889.0  |  filesystem.x86_64                                      |  None      |  Installed      |  filesystem.x86_64:0:3.2-25.el7                                   ||
||  Bugfix        |  1570703369.0  |  findutils.x86_64                                       |  None      |  Installed      |  findutils.x86_64:1:4.5.11-6.el7                                  ||
||  Bugfix        |  1521826962.0  |  fipscheck.x86_64                                       |  None      |  Installed      |  fipscheck.x86_64:0:1.4.1-6.el7                                   ||
||  Bugfix        |  1521826962.0  |  fipscheck-lib.x86_64                                   |  None      |  Installed      |  fipscheck-lib.x86_64:0:1.4.1-6.el7                               ||
||  Bugfix        |  1572864858.0  |  firstboot.x86_64                                       |  None      |  Installed      |  firstboot.x86_64:0:19.12-1.el7                                   ||
||  Security      |  1572864755.0  |  flac-libs.x86_64                                       |  Important |  Installed      |  flac-libs.x86_64:0:1.3.0-5.el7_1                                 ||
||  Bugfix        |  1572864839.0  |  folks.x86_64                                           |  None      |  Installed      |  folks.x86_64:1:0.11.4-1.el7                                      ||
||  Bugfix        |  1568028345.0  |  fontconfig.x86_64                                      |  None      |  Installed      |  fontconfig.x86_64:0:2.13.0-4.3.el7                               ||
||  Bugfix        |  1572864794.0  |  fprintd.x86_64                                         |  None      |  Installed      |  fprintd.x86_64:0:0.8.1-2.el7                                     ||
||  Bugfix        |  1572864857.0  |  fprintd-pam.x86_64                                     |  None      |  Installed      |  fprintd-pam.x86_64:0:0.8.1-2.el7                                 ||
||  Security      |  1572864782.0  |  freerdp-libs.x86_64                                    |  Important |  Installed      |  freerdp-libs.x86_64:0:2.0.0-1.rc4.el7                            ||
||  Bugfix        |  1568028344.0  |  freetype.x86_64                                        |  None      |  Installed      |  freetype.x86_64:0:2.8-14.el7                                     ||
||  Bugfix        |  1572864784.0  |  fros.noarch                                            |  None      |  Installed      |  fros.noarch:0:1.0-5.el7                                          ||
||  Bugfix        |  1572864769.0  |  fuse.x86_64                                            |  None      |  Installed      |  fuse.x86_64:0:2.9.2-11.el7                                       ||
||  Bugfix        |  1572864767.0  |  fuse-libs.x86_64                                       |  None      |  Installed      |  fuse-libs.x86_64:0:2.9.2-11.el7                                  ||
||  Bugfix        |  1521826905.0  |  gawk.x86_64                                            |  None      |  Installed      |  gawk.x86_64:0:4.0.2-4.el7_3.1                                    ||
||  Bugfix        |  1569397955.0  |  gcr.x86_64                                             |  None      |  Installed      |  gcr.x86_64:0:3.28.0-1.el7                                        ||
||  Bugfix        |  1570703424.0  |  gdisk.x86_64                                           |  None      |  Installed      |  gdisk.x86_64:0:0.8.10-3.el7                                      ||
||  Bugfix        |  1568028352.0  |  gdk-pixbuf2.x86_64                                     |  None      |  Installed      |  gdk-pixbuf2.x86_64:0:2.36.12-3.el7                               ||
||  Bugfix        |  1572864840.0  |  gdm.x86_64                                             |  None      |  Installed      |  gdm.x86_64:1:3.28.2-16.el7                                       ||
||  Bugfix        |  1569397957.0  |  gedit.x86_64                                           |  None      |  Installed      |  gedit.x86_64:2:3.28.1-1.el7                                      ||
||  Bugfix        |  1572864764.0  |  genisoimage.x86_64                                     |  None      |  Installed      |  genisoimage.x86_64:0:1.1.11-25.el7                               ||
||  Bugfix        |  1572864767.0  |  geoclue2.x86_64                                        |  None      |  Installed      |  geoclue2.x86_64:0:2.4.8-1.el7                                    ||
||  Bugfix        |  1572864767.0  |  geoclue2-libs.x86_64                                   |  None      |  Installed      |  geoclue2-libs.x86_64:0:2.4.8-1.el7                               ||
||  Bugfix        |  1572864756.0  |  geocode-glib.x86_64                                    |  None      |  Installed      |  geocode-glib.x86_64:0:3.26.0-2.el7                               ||
||  Bugfix        |  1521826940.0  |  gettext.x86_64                                         |  None      |  Installed      |  gettext.x86_64:0:0.19.8.1-2.el7                                  ||
||  Bugfix        |  1521826939.0  |  gettext-libs.x86_64                                    |  None      |  Installed      |  gettext-libs.x86_64:0:0.19.8.1-2.el7                             ||
||  Bugfix        |  1572864823.0  |  gjs.x86_64                                             |  None      |  Installed      |  gjs.x86_64:0:1.52.5-1.el7_6                                      ||
||  Bugfix        |  1572864841.0  |  glade-libs.x86_64                                      |  None      |  Installed      |  glade-libs.x86_64:0:3.22.1-1.el7                                 ||
||  Bugfix        |  1569397953.0  |  glib-networking.x86_64                                 |  None      |  Installed      |  glib-networking.x86_64:0:2.56.1-1.el7                            ||
||  Bugfix        |  1568028344.0  |  glib2.x86_64                                           |  None      |  Installed      |  glib2.x86_64:0:2.56.1-5.el7                                      ||
||  Bugfix        |  1572864758.0  |  glibmm24.x86_64                                        |  None      |  Installed      |  glibmm24.x86_64:0:2.56.0-1.el7                                   ||
||  Bugfix        |  1572864766.0  |  glx-utils.x86_64                                       |  None      |  Installed      |  glx-utils.x86_64:0:8.3.0-10.el7                                  ||
||  Bugfix        |  1521826919.0  |  gmp.x86_64                                             |  None      |  Installed      |  gmp.x86_64:1:6.0.0-15.el7                                        ||
||  Bugfix        |  1572864784.0  |  gnome-abrt.x86_64                                      |  None      |  Installed      |  gnome-abrt.x86_64:0:0.3.4-8.el7                                  ||
||  Bugfix        |  1572864821.0  |  gnome-bluetooth.x86_64                                 |  None      |  Installed      |  gnome-bluetooth.x86_64:1:3.28.2-1.el7                            ||
||  Bugfix        |  1572864785.0  |  gnome-bluetooth-libs.x86_64                            |  None      |  Installed      |  gnome-bluetooth-libs.x86_64:1:3.28.2-1.el7                       ||
||  Bugfix        |  1572864851.0  |  gnome-boxes.x86_64                                     |  None      |  Installed      |  gnome-boxes.x86_64:0:3.28.5-4.el7                                ||
||  Bugfix        |  1572864851.0  |  gnome-calculator.x86_64                                |  None      |  Installed      |  gnome-calculator.x86_64:0:3.28.2-1.el7                           ||
||  Bugfix        |  1572864849.0  |  gnome-classic-session.noarch                           |  None      |  Installed      |  gnome-classic-session.noarch:0:3.28.1-7.el7                      ||
||  Bugfix        |  1572864853.0  |  gnome-clocks.x86_64                                    |  None      |  Installed      |  gnome-clocks.x86_64:0:3.28.0-1.el7                               ||
||  Bugfix        |  1572864858.0  |  gnome-color-manager.x86_64                             |  None      |  Installed      |  gnome-color-manager.x86_64:0:3.28.0-1.el7                        ||
||  Bugfix        |  1572864850.0  |  gnome-contacts.x86_64                                  |  None      |  Installed      |  gnome-contacts.x86_64:0:3.28.2-1.el7                             ||
||  Bugfix        |  1572864824.0  |  gnome-desktop3.x86_64                                  |  None      |  Installed      |  gnome-desktop3.x86_64:0:3.28.2-2.el7                             ||
||  Bugfix        |  1572864861.0  |  gnome-dictionary.x86_64                                |  None      |  Installed      |  gnome-dictionary.x86_64:0:3.26.1-2.el7                           ||
||  Bugfix        |  1572864858.0  |  gnome-disk-utility.x86_64                              |  None      |  Installed      |  gnome-disk-utility.x86_64:0:3.28.3-1.el7                         ||
||  Bugfix        |  1572864854.0  |  gnome-font-viewer.x86_64                               |  None      |  Installed      |  gnome-font-viewer.x86_64:0:3.28.0-1.el7                          ||
||  Bugfix        |  1572864857.0  |  gnome-getting-started-docs.noarch                      |  None      |  Installed      |  gnome-getting-started-docs.noarch:0:3.28.2-1.el7                 ||
||  Bugfix        |  1572864761.0  |  gnome-icon-theme.noarch                                |  None      |  Installed      |  gnome-icon-theme.noarch:0:3.12.0-1.el7                           ||
||  Bugfix        |  1572864860.0  |  gnome-icon-theme-extras.noarch                         |  None      |  Installed      |  gnome-icon-theme-extras.noarch:0:3.12.0-1.el7                    ||
||  Bugfix        |  1572864860.0  |  gnome-icon-theme-symbolic.noarch                       |  None      |  Installed      |  gnome-icon-theme-symbolic.noarch:0:3.12.0-2.el7                  ||
||  Bugfix        |  1572864849.0  |  gnome-initial-setup.x86_64                             |  None      |  Installed      |  gnome-initial-setup.x86_64:0:3.28.0-2.el7                        ||
||  Bugfix        |  1572864807.0  |  gnome-keyring.x86_64                                   |  None      |  Installed      |  gnome-keyring.x86_64:0:3.28.2-1.el7                              ||
